epoch,lr,train_loss,train_acc,val_loss,val_acc,elapsed_min
186,0.00121404,0.880999,0.537638,0.636401,0.961200,117.19
187,0.00104876,0.894900,0.495126,0.642131,0.963000,117.80
188,0.00089555,0.900364,0.542334,0.645608,0.963200,118.45
189,0.00075446,0.904568,0.502181,0.653977,0.962600,119.09
190,0.00062552,0.887660,0.529202,0.621006,0.963600,119.71
191,0.00050877,0.917339,0.506611,0.613780,0.962800,120.29
192,0.00040423,0.898699,0.521390,0.630661,0.964200,120.92
193,0.00031192,0.913702,0.522814,0.642807,0.964200,121.57
194,0.00023188,0.906207,0.486668,0.633566,0.964200,122.20
195,0.00016412,0.865372,0.517762,0.594480,0.963400,122.84
196,0.00010865,0.905011,0.529358,0.599983,0.964200,123.49
197,0.00006550,0.886033,0.496617,0.622822,0.964400,124.12
198,0.00003467,0.897944,0.502782,0.602698,0.963800,124.73
199,0.00001617,0.885664,0.524706,0.632713,0.963000,125.38
200,0.00001000,0.913114,0.528178,0.628340,0.963200,126.02
