global_step,epoch,loss,grad_norm
416,2,1.74020767,12.21881580
417,2,1.36580133,4.70004559
418,2,1.45474875,5.10320759
419,2,1.55185986,6.69603157
420,2,1.42642546,6.93864775
421,2,1.47727442,3.10962677
422,2,1.46198821,5.07393742
423,2,1.53899479,5.77767134
424,2,1.44003034,5.18390656
425,2,1.43259764,5.68037605
426,2,1.40509272,4.06819963
427,2,1.25185287,5.68171835
428,2,1.49812627,4.00778913
429,2,1.47769201,4.31443453
430,2,1.23211324,2.43022346
431,2,1.28509283,5.18241692
432,2,1.44545567,8.92216682
433,2,1.24347448,3.30085850
434,2,1.39714634,5.24720716
435,2,1.55866516,8.60347080
436,2,1.27095604,3.84861326
437,2,1.48703969,6.35503054
438,2,1.69157112,6.24022722
439,2,1.51338387,7.89872885
440,2,1.17005265,3.39856410
441,2,1.36736131,3.77771568
442,2,1.53268147,9.27619076
443,2,1.36611128,3.14942336
444,2,1.45268750,3.46283984
445,2,1.35965085,3.49117804
446,2,1.52239227,6.33873987
447,2,1.38825130,5.87564754
448,2,1.31573415,3.54359484
449,2,1.42901039,3.99460363
450,2,1.41292143,6.99941826
451,2,1.33418608,5.86934710
452,2,1.26960683,4.32825184
453,2,1.48011911,4.82910156
454,2,1.33359861,5.60917854
455,2,1.61998975,8.21586609
456,2,1.43313539,2.80643415
457,2,1.20746064,4.20170593
458,2,1.30042315,3.93381548
459,2,1.48877525,6.32771254
460,2,1.43047631,4.59830046
461,2,1.38503838,3.67556691
462,2,1.36924171,5.97196341
463,2,1.55097616,7.92173338
464,2,1.43431234,4.86032915
465,2,1.42270494,6.11726570
466,2,1.41217566,4.10540056
467,2,1.30045176,3.24854946
468,2,1.25744343,3.34545732
469,2,1.34894109,5.25516415
470,2,1.34357953,4.33812475
471,2,1.25632977,3.11499858
472,2,1.31821012,4.47141218
473,2,1.36263585,5.53229046
474,2,1.21572852,2.83190465
475,2,1.29642940,4.68515015
476,2,1.32830834,6.69319534
477,2,1.42656493,4.49150372
478,2,1.35544384,3.28587174
479,2,1.43109858,3.85960531
480,2,1.19124055,4.42419720
481,2,1.46172261,6.07851362
482,2,1.16675925,6.31666374
483,2,1.34629202,3.36930752
484,2,1.26345730,3.56704307
485,2,1.27976966,3.75137353
486,2,1.26664305,4.58748817
487,2,1.36333311,4.52359724
488,2,1.14862633,4.20387173
489,2,1.34467947,4.56722689
490,2,1.21821487,4.81392145
491,2,1.22917080,5.80350065
492,2,1.18135619,4.85006857
493,2,1.25480092,6.66491842
494,2,1.42627203,4.02252150
495,2,1.39042413,4.81972075
496,2,1.50687385,3.82839561
497,2,1.34688067,4.08838844
498,2,1.46676564,3.26845455
499,2,1.20382309,3.76400304
500,2,1.25668728,3.94244385
501,2,1.20083523,2.84932065
502,2,1.44067395,3.82746172
503,2,1.23731780,5.12469149
504,2,1.38033080,4.60451126
505,2,1.21728885,3.82383990
506,2,1.34616423,4.66747618
507,2,1.29248130,5.74830484
508,2,1.23302305,5.00372648
509,2,1.27535999,5.19161272
510,2,1.34276700,6.97851324
511,2,1.25097394,5.67673349
512,2,1.26930118,5.12796831
513,2,1.60888028,8.64193630
514,2,1.38668203,7.24461651
515,2,1.43828416,8.99901295
516,2,1.18853903,3.59109879
517,2,1.40923643,6.99833488
518,2,1.43021178,3.98550987
519,2,1.47646117,5.84397602
520,2,1.21010852,2.94139361
521,2,1.34530890,3.07521105
522,2,1.26718998,3.55561972
523,2,1.29432201,3.72257471
524,2,1.34137416,5.41657877
525,2,1.25458145,5.13435268
526,2,1.18389893,3.42912364
527,2,1.39775717,3.81830716
528,2,1.18683553,3.47743988
529,2,1.32269025,3.16345024
530,2,1.26383412,4.73016882
531,2,1.19325769,5.03001308
532,2,1.25683475,5.64816666
533,2,1.23069143,4.46058655
534,2,1.19304574,6.19038725
535,2,1.21706605,4.78228426
536,2,1.37030816,6.26902485
537,2,1.26603186,4.37590694
538,2,1.22794342,7.16224909
539,2,1.36397839,4.26998854
540,2,1.17570066,5.61258745
541,2,1.38840663,6.86338758
542,2,1.32527077,4.55744505
543,2,1.28946233,6.26701832
544,2,1.20331025,5.33589554
545,2,1.35440755,4.62200356
546,2,1.20584941,4.50215769
547,2,1.39900970,7.05030346
548,2,1.21798730,5.03862095
549,2,1.27085567,3.75596523
550,2,1.30981493,5.44300652
551,2,1.25369823,6.18976974
552,2,1.21744728,3.33286023
553,2,1.33100533,6.02399874
554,2,1.26347399,7.35884380
555,2,1.25304747,5.36406755
556,2,1.17672336,5.20086575
557,2,1.26826835,4.59854555
558,2,1.27286887,5.95845795
559,2,1.23125327,6.23232031
560,2,1.15246093,4.92191935
561,2,1.22003543,5.24296474
562,2,1.37946928,5.08379984
563,2,1.16888297,6.49419928
564,2,1.10457063,4.91151667
565,2,1.27824259,3.73328090
566,2,1.26415586,4.30205059
567,2,1.27916861,5.17301369
568,2,1.20523787,6.97726583
569,2,1.14085639,2.83257174
570,2,1.16938615,5.75661469
571,2,1.28004205,6.10936022
572,2,1.27555096,4.74859810
573,2,1.20378518,3.63791370
574,2,1.27292347,4.32161808
575,2,1.12275589,5.74910021
576,2,1.37848997,3.68486547
577,2,1.28829181,4.72873306
578,2,1.25630701,4.04557514
579,2,1.13946593,3.43267131
580,2,1.14932013,5.04818153
581,2,1.13171375,3.01231122
582,2,1.34086990,6.32547855
583,2,1.31656253,6.80311203
584,2,1.27615952,5.75396299
585,2,1.17191374,5.82776594
586,2,1.12639749,5.40506792
587,2,1.11532080,6.36581182
588,2,1.20781684,4.84760094
589,2,1.10953760,5.06675720
590,2,1.32201576,5.40195179
591,2,1.30249345,4.60773993
592,2,1.43682075,6.29686594
593,2,1.21987438,4.46659279
594,2,1.24532282,4.06385851
595,2,1.19747210,5.82975912
596,2,1.32554567,6.22358561
597,2,1.00773025,3.80140948
598,2,1.07268429,4.64597845
599,2,1.26156068,6.01055956
600,2,1.13443696,5.38551950
601,2,1.15751791,7.16048670
602,2,1.13490808,5.14761019
603,2,1.10105968,6.26980639
604,2,1.29558468,8.76646423
605,2,1.26095366,4.66252899
606,2,1.26189852,4.55309772
607,2,1.26450443,4.02090740
608,2,1.28955352,5.80814600
609,2,1.20226872,5.03619480
610,2,1.31400776,5.34572029
611,2,1.09988880,4.82374430
612,2,1.03492332,4.38628817
613,2,1.17214775,5.47851515
614,2,1.12464166,4.67179966
615,2,1.41978908,4.02366781
616,2,1.27363372,6.44072056
617,2,1.16212344,4.37111855
618,2,1.07255125,4.43367529
619,2,1.21503830,4.60944080
620,2,1.15481901,3.91246223
621,2,1.17720032,3.85983372
622,2,1.24765635,4.66450453
623,2,1.11478114,4.69378519
624,2,1.16660511,4.45509624
625,2,1.13202226,9.46682358
626,2,1.22020531,9.03542137
627,2,0.99444073,5.45728254
628,2,1.22239113,8.60476303
629,2,1.13232636,7.69117212
630,2,1.15175390,6.55106878
631,2,1.05767846,4.82155943
632,2,1.02406549,5.32237530
633,2,1.14397991,5.95829821
634,2,1.20273781,5.71043825
635,2,1.01119435,4.82931376
636,2,1.03600335,4.89464474
637,2,1.21236181,5.25241327
638,2,1.19754624,5.55181122
639,2,1.05703092,4.96066809
640,2,1.18205070,5.85823965
641,2,1.02712381,3.88670421
642,2,1.26975191,7.59562683
643,2,1.10037673,4.24880981
644,2,1.11532748,5.43547201
645,2,1.36762071,8.97814083
646,2,1.25838304,3.93207479
647,2,1.16079354,8.28841877
648,2,1.38430560,10.09189320
649,2,1.17763448,4.83732891
650,2,1.15234029,5.72546244
651,2,1.28534555,8.99350452
652,2,1.26860070,7.16563892
653,2,1.12774777,3.88676476
654,2,1.03491604,4.76077890
655,2,1.30207074,6.17163038
656,2,1.42195559,6.28067160
657,2,1.15544796,4.20571947
658,2,1.20715439,6.11209297
659,2,1.36154413,4.68288279
660,2,1.32581937,5.09271383
661,2,1.26038551,5.34448433
662,2,1.34023881,6.18172979
663,2,1.47204661,10.23614788
664,2,1.22886515,7.49197340
665,2,1.27272296,4.73765755
666,2,1.13474178,5.46855497
667,2,1.36442900,7.13863230
668,2,1.24221253,5.28241205
669,2,1.13101149,3.67017436
670,2,1.14476585,6.98312616
671,2,1.31655228,3.54972601
672,2,1.16398513,5.58959103
673,2,1.34347773,5.66247272
674,2,1.16871977,4.30968094
675,2,1.16938448,4.95417500
676,2,1.16048419,4.90983820
677,2,1.20854604,3.48769116
678,2,1.27659011,6.27059793
679,2,1.30534303,6.27972794
680,2,1.13548100,5.28905678
681,2,1.16208732,5.87832212
682,2,1.22068000,4.71305847
683,2,1.15096724,7.51819754
684,2,1.09744406,3.63717103
685,2,1.21478510,9.47056198
686,2,1.18399429,9.72814941
687,2,1.14721751,3.47943854
688,2,1.09242988,5.15743780
689,2,1.32053721,5.30937243
690,2,1.35891962,5.73089552
691,2,1.09562039,4.90950394
692,2,1.16795373,3.46912575
693,2,1.13353097,5.79958105
694,2,1.13713646,4.30462790
695,2,1.30897379,5.09296989
696,2,1.07254434,3.98316479
697,2,1.10223007,4.88229418
698,2,1.18365514,5.27429628
699,2,1.11147559,5.07072735
700,2,1.13540816,8.03525639
701,2,1.14546752,6.18100309
702,2,1.15280640,5.96401119
703,2,1.05386782,4.42614698
704,2,1.26030731,8.80039692
705,2,1.19953394,5.70195723
706,2,0.97568297,4.40581751
707,2,1.04175055,5.39271832
708,2,1.11492121,4.10918283
709,2,1.22125208,6.65898609
710,2,1.03143740,3.20280600
711,2,1.16415429,3.96906209
712,2,1.25951183,4.66885996
713,2,1.16030073,4.78915548
714,2,1.01096201,6.07453394
715,2,1.07199311,5.11072969
716,2,1.17837405,7.85789728
717,2,1.14195704,7.40324688
718,2,0.97242844,5.40746832
719,2,1.11402011,6.50845814
720,2,0.95562994,6.21710110
721,2,1.20348406,6.93307877
722,2,1.25820601,9.51007748
723,2,0.98640442,4.26284075
724,2,1.22367477,5.13099384
725,2,1.28176427,7.61771584
726,2,1.16309834,4.91095877
727,2,1.08944464,6.73281002
728,2,1.27893567,6.42177105
729,2,1.18544936,5.11069536
730,2,1.16917539,7.57589865
731,2,1.18876576,5.96040106
732,2,1.10352278,9.43164349
733,2,1.12941468,6.05447626
734,2,1.09527028,7.15376759
735,2,1.26089251,6.21614170
736,2,1.19019198,7.34931231
737,2,1.33906507,7.43076038
738,2,1.21293402,6.22237206
739,2,1.01989388,4.26434994
740,2,1.00046039,3.54340792
741,2,1.10103858,4.74346781
742,2,1.26938820,7.27964211
743,2,1.14595079,3.41863942
744,2,1.29764295,4.80579376
745,2,1.20399642,4.63382769
746,2,1.30179012,6.12196350
747,2,1.01432765,4.94030142
748,2,1.08696961,5.19205523
749,2,1.19187129,6.01051950
750,2,0.98265547,4.13328934
751,2,1.20704770,4.67243004
752,2,1.25690818,5.95526791
753,2,0.94327980,4.17136812
754,2,1.14211583,5.10617781
755,2,1.16107774,5.02081203
756,2,1.13024557,6.80669212
757,2,1.09775984,5.02944040
758,2,0.94048226,5.34685326
759,2,1.04168379,4.94631004
760,2,1.10618281,5.16700506
761,2,1.04502130,5.10961866
762,2,1.02171052,5.55841923
763,2,0.97399259,4.52321339
764,2,1.06778228,5.42661715
765,2,1.05037415,7.56870127
766,2,1.17131400,4.92011261
767,2,1.30465746,6.95872974
768,2,0.99291170,3.86579418
769,2,1.20469046,5.17863464
770,2,1.11619389,5.97471905
771,2,1.20727122,9.13001156
772,2,1.11678123,6.75521517
773,2,0.88822305,5.91008186
774,2,0.92364174,3.65871954
775,2,1.18282199,6.41810274
776,2,1.10961258,6.56230068
777,2,1.08618212,8.40232754
778,2,1.04728401,6.31564045
779,2,1.19263148,7.54850435
780,2,1.16175389,9.67807388
781,2,0.94639081,5.65871763
782,3,1.09143853,6.21369171
783,3,1.10549212,7.03390789
784,3,1.15519094,6.29153204
785,3,1.04116392,5.39102602
786,3,1.03404844,4.76565123
787,3,0.92186499,4.83829308
788,3,1.07638609,5.62480211
789,3,1.18090820,6.25557423
790,3,1.11810017,5.53642130
791,3,1.04059529,5.77215958
792,3,0.96952742,4.92605066
793,3,0.99780416,5.06343889
794,3,1.07911313,4.01802063
795,3,1.02277946,4.87683964
796,3,1.04102826,3.66974068
797,3,1.02100480,5.30057573
798,3,0.98313165,5.49462509
799,3,0.98103249,6.58767986
800,3,1.00802326,6.61241007
801,3,1.07429242,4.45645571
802,3,1.07881606,5.11047411
803,3,0.89448810,5.30447292
804,3,1.04643250,5.98866320
805,3,0.81722218,4.77054214
806,3,1.00170159,4.92171478
807,3,0.98672259,8.16563606
808,3,1.09282660,6.93598461
809,3,1.00036407,4.86870384
810,3,1.05141854,5.27593756
811,3,0.98937941,4.53450346
812,3,1.05687237,6.22232008
813,3,0.86281598,5.22098684
814,3,0.96881986,5.90972328
815,3,1.15803277,5.28269386
816,3,1.07205474,6.25056458
817,3,1.00764823,4.99848366
818,3,1.08863497,8.44128036
819,3,0.99486482,6.18014050
820,3,0.93169689,3.57190990
821,3,1.01216173,6.76516819
822,3,1.06728768,4.67061043
823,3,0.97738165,5.54602957
824,3,0.87257499,4.51069546
825,3,0.93347806,5.62919664
826,3,0.98074013,6.30208826
827,3,1.21879435,8.97432232
828,3,1.14334774,5.73544216
829,3,1.13921988,6.88533831
830,3,0.97529554,6.27155399
831,3,0.93009722,5.45231104
832,3,0.95482790,4.78576946
833,3,1.15752232,7.36094141
834,3,1.15427470,6.12027025
835,3,0.93111306,3.82076645
836,3,1.09107745,4.93894100
837,3,1.12828183,6.35468578
838,3,1.05122018,4.98526764
839,3,1.08713663,6.37291670
840,3,0.82242966,4.48947001
841,3,1.13238692,6.19401693
842,3,1.11099768,8.01142788
843,3,0.93356323,4.96162701
844,3,0.85416102,4.79900074
845,3,0.98031831,4.96621704
846,3,1.01442862,4.09691668
847,3,0.88937485,4.68946123
848,3,0.99062949,9.69330215
849,3,1.04934931,5.06509972
850,3,0.85813075,4.85331535
851,3,0.91849566,5.06388378
852,3,0.99799603,6.85535431
853,3,0.92370224,6.62351942
854,3,0.89800698,7.06325769
855,3,1.17276549,6.59273481
856,3,0.86202830,6.78356409
857,3,0.94357008,6.38495731
858,3,1.09950995,7.02387905
859,3,0.90530074,6.61857224
860,3,0.98760492,6.62655735
861,3,0.99529815,6.04776192
862,3,1.09063482,5.12388086
863,3,1.03527570,5.50654745
864,3,1.09104776,5.80534172
865,3,1.15760744,6.85639858
866,3,0.91943222,6.89846945
867,3,0.87173390,4.03530931
868,3,0.95828044,4.38680744
869,3,0.92513800,3.85507917
870,3,0.85730582,4.04921007
